Palabra                  Frecuencia     Longitud  
crowd                    1              5         
crowded                  2              7         
crows                    2              5         
crumb                    2              5         
crumbling                1              9         
crunched                 2              8         
crunching                3              9         
crushed                  1              7         
crushing                 1              8         
cub                      32             3         
cubs                     45             4         
cuddle                   2              6         
cuddled                  1              7         
cuff                     3              4         
cunning                  4              7         
cup                      1              3         
curiosity                6              9         
curious                  7              7         
curl                     4              4         
curled                   5              6         
curling                  2              7         
current                  6              7         
curved                   2              6         
cut                      3              3         
cutting                  2              7         
daddy                    7              5         
daddy’s                  1              7         
dainty                   1              6         
daisies                  1              7         
damage                   2              6         
damaged                  1              7         
damages                  4              7         
damp                     1              4         
dance                    1              5         
danced                   8              6         
dancing                  4              7         
danger                   4              6         
dangerous                4              9         
dangerous”               1              10        
dangers                  1              7         
dangled                  1              7         
dangling                 1              8         
dare                     2              4         
dared                    4              5         
daring                   1              6         
dark                     10             4         
darkest                  1              7         
darkness                 1              8         
dart                     2              4         
darted                   3              6         
darting                  1              7         
darts                    1              5         
daru                     2              4         
dash                     1              4         
dashed                   2              6         
dashing                  1              7         
data                     1              4         
date                     3              4         
dawn                     2              4         
dawned                   1              6         
day                      13             3         
daylight                 2              8         
days                     9              4         
days”                    1              5         
day—landed               1              10        
day”                     1              4         
dazedly                  1              7         
dead                     8              4         
deadliest                1              9         
deadwood                 1              8         
deaf                     1              4         
dear                     1              4         
death                    1              5         
deceived                 2              8         
decide                   1              6         
decided                  7              7         
decidedly                3              9         
deciding                 1              8         
declare”                 1              8         
deductible               1              10        
deep                     23             4         
deepened                 1              8         
deeper                   2              6         
deepest                  1              7         
deeply                   1              6         
deer                     1              4         
defect                   3              6         
defective                3              9         
defending                1              9         
defiance                 1              8         
delay                    1              5         
deletions                1              9         
deliberately             1              12        
delicious                8              9         
delicioussmelling        1              17        
delight                  6              7         
delightedly              1              11        
delightful               1              10        
delights                 2              8         
demand                   1              6         
den                      10             3         
denial                   1              6         
dens                     1              4         
densely                  1              7         
deny                     1              4         
depends                  2              7         
depth                    1              5         
depths                   4              6         
derivative               3              10        
derive                   1              6         
derived                  1              7         
descended                1              9         
descending               1              10        
described                1              9         
deserted                 1              8         
deserve                  1              7         
design                   1              6         
desire                   3              6         
despairingly             2              12        
desperation              1              11        
despite                  2              7         
destroy                  2              7         
detach                   1              6         
detected                 1              8         
determine                1              9         
determined               2              10        
devour                   2              6         
devoured                 1              8         
devouring                1              9         
dewwet                   1              6         
dialect                  1              7         
did                      44             3         
didn’t                   39             6         
did”                     1              4         
died                     1              4         
difference               1              10        
different                8              9         
difficulty               1              10        
digest—sat               1              10        
dilating                 1              8         
dimly                    1              5         
dine                     1              4         
dinner                   3              6         
dint                     1              4         
direct                   1              6         
directed                 1              8         
direction                2              9         
directly                 5              8         
disadvantage             1              12        
disappear                1              9         
disappeared              1              11        
disappeared—and          1              15        
disappeared—twinkly      1              19        
disappearing             1              12        
disclaim                 1              8         
disclaimer               3              10        
disclaimers              1              11        
disclosed                1              9         
discontinue              1              11        
discover                 1              8         
discovered               3              10        
disguised                1              9         
disk                     1              4         
dislocated               1              10        
disobey                  1              7         
display                  1              7         
displayed                1              9         
displaying               4              10        
disrespect               1              10        
distance                 7              8         
distant                  2              7         
distinctly               1              10        
distribute               6              10        
distributed              5              11        
distributing             7              12        
distribution             6              12        
distributor              1              11        
distrusted               1              10        
disturb                  1              7         
disturbed                1              9         
dive                     2              4         
dived                    1              5         
do                       58             2         
dodged                   1              6         
doe                      4              3         
does                     6              4         
doesn’t                  3              7         
doglike                  1              7         
domain                   2              6         
donate                   3              6         
donation                 1              8         
donations                15             9         
done                     4              4         
donors                   1              6         
don’t                    15             5         
don’t”                   2              6         
doomed                   1              6         
door                     3              4         
dotted                   1              6         
double                   1              6         
doubled                  3              7         
doubling                 1              8         
doublings                1              9         
doubt                    2              5         
doubtless                1              9         
douglas                  4              7         
down                     91             4         
downed                   2              6         
downloading              1              11        
downstream               2              10        
dozen                    3              5         
do—where                 1              8         
dragging                 1              8         
draw                     3              4         
drawn                    1              5         
dreadful                 1              8         
dreadfully               6              10        
dream                    1              5         
dreamed                  6              7         
dreaming                 1              8         
dreamland                1              9         
dreams                   1              6         
drew                     4              4         
dried                    4              5         
drift                    1              5         
drifted                  1              7         
drills”                  1              7         
drink                    2              5         
drinking                 2              8         
dripped                  1              7         
dripping                 2              8         
drive                    4              5         
driven                   6              6         
driving                  3              7         
drizzle                  1              7         
drooping                 1              8         
drop                     7              4         
dropped                  7              7         
dropping                 2              8         
drops                    3              5         
drove                    1              5         
drown                    2              5         
drowning                 2              8         
drown”                   1              6         
drowsed                  1              7         
drowsing                 1              8         
drowsy                   1              6         
drumming                 1              8         
drunk                    1              5         
dry                      15             3         
ducking                  3              7         
ducks                    2              5         
due                      2              3         
dug                      1              3         
dusk                     1              4         
dwellers                 1              8         
each                     10             4         
eager                    2              5         
eagerness                1              9         
ear                      10             3         
early                    3              5         
ears                     29             4         
earshot”                 1              8         
earth                    12             5         
earthward                1              9         
easier                   1              6         
easiest                  1              7         
easily                   5              6         
easy                     5              4         
eat                      10             3         
eaten                    1              5         
eating                   4              6         
eats                     2              4         
ebook                    13             5         
ebooks                   7              6         
edge                     12             4         
edition                  1              7         
editions                 4              8         
educational              1              11        
effect                   2              6         
effort                   5              6         
efforts                  4              7         
eggs                     4              4         
ein                      1              3         
either                   4              6         
elders                   2              6         
elect                    1              5         
electronic               27             10        
electronically           2              14        
element                  1              7         
elms                     1              4         
else                     12             4         
email                    3              5         
embers                   1              6         
emerged                  1              7         
emerging                 1              8         
employee                 1              8         
employees                1              9         
empty                    4              5         
enclosed                 1              8         
encounter                2              9         
encouraged               1              10        
encouragement            1              13        
end                      16             3         
ended                    2              5         
ending                   2              6         
ends                     1              4         
enemies                  4              7         
enemy                    7              5         
energetically            1              13        
english                  1              7         
enjoy                    5              5         
enjoyed                  2              7         
enjoying                 1              8         
enjoyment                3              9         
enough                   22             6         
enough—so                1              9         
enough”                  1              7         
ensuring                 1              8         
enter                    3              5         
entered                  2              7         
enticing                 1              8         
entire                   2              6         
entirely                 1              8         
entity                   3              6         
entrance                 2              8         
entrenched               2              10        
epaulettes               1              10        
equally                  1              7         
equipment                3              9         
erect                    1              5         
errors                   1              6         
escape                   4              6         
escaped                  2              7         
especially               1              10        
even                     57             4         
evening                  2              7         
ever                     25             4         
every                    32             5         
everyone                 3              8         
everything               7              10        
everywhere               8              10        
evidence                 1              8         
exactly                  5              7         
excellent                1              9         
except                   6              6         
exception                2              9         
excited                  1              7         
excitement               5              10        
exclaimed                3              9         
exclusion                1              9         
exempt                   2              6         
exhibition               1              10        
exist                    1              5         
existence                1              9         
exists                   1              6         
expect                   1              6         
expected                 2              8         
expeditions              1              11        
expend                   1              6         
expense                  2              7         
expenses                 2              8         
experience               6              10        
explained                2              9         
explanation              2              11        
explore                  1              7         
exporting                1              9         
exposed                  1              7         
express                  1              7         
extent                   2              6         
extra                    3              5         
extra—nothing            1              13        
eye                      10             3         
eyeballs                 1              8         
eyed                     1              4         
eyelid                   4              6         
eyelids                  1              7         
eyes                     232            4         
eyes—a                   1              6         
eyes—and                 1              8         
eyes—rash                1              9         
eyes’                    3              5         
eying                    1              5         
face                     18             4         
faces                    2              5         
facility                 1              8         
fact                     16             4         
facts                    1              5         
faint                    5              5         
fair                     1              4         
fairly                   11             6         
fairy                    1              5         
faith                    1              5         
fall                     12             4         
fallen                   10             6         
falling                  9              7         
falls                    1              5         
family                   21             6         
fangs                    1              5         
fanning                  1              7         
far                      33             3         
farhanging               1              10        
farm                     23             4         
farther                  9              7         
farther”                 1              8         
fashion                  1              7         
fast                     16             4         
fasted                   1              6         
fastened                 2              8         
faster                   4              6         
faster”                  1              7         
fastest                  2              7         
fat                      32             3         
fatal                    1              5         
father                   10             6         
father’s                 1              8         
fatly                    1              5         
fatty                    3              5         
favorite                 1              8         
fawn                     13             4         
fawn”                    2              5         
fear                     7              4         
feared                   8              6         
fearful                  1              7         
fearless                 1              8         
fears                    1              5         
feast                    14             5         
feather                  1              7         
feathered                2              9         
feathers                 2              8         
federal                  2              7         
fee                      8              3         
feel                     6              4         
feeling                  5              7         
feelings                 4              8         
fees                     4              4         
feet                     26             4         
fell                     5              4         
felled                   1              6         
fellow                   20             6         
fellowrefugees           1              14        
fellows                  1              7         
fellow—lumbered          1              15        
felt                     22             4         
fence                    1              5         
fencepost                1              9         
fern                     1              4         
ferns                    4              5         
ferocious                1              9         
ferociouslooking         1              16        
feud                     1              4         
few                      7              3         
fiction                  1              7         
field                    6              5         
fields                   1              6         
fiercelooking            1              13        
fight                    16             5         
fighting                 2              8         
fights                   1              6         
figure                   1              6         
figures                  1              7         
file                     2              4         
files                    1              5         
fill                     1              4         
filled                   8              6         
filter                   1              6         
fin                      3              3         
finally                  9              7         
financial                1              9         
find                     35             4         
finding                  2              7         
find—for                 1              8         
fine                     2              4         
finest                   2              6         
fingers                  1              7         
finish                   2              6         
finished                 3              8         
finishing                2              9         
fins                     1              4         
fir                      1              3         
fire                     13             4         
firefighting             1              12        
fires                    1              5         
firm                     1              4         
firmly                   2              6         
firs                     2              4         
first                    39             5         
first”                   2              6         
fish                     17             4         
fished                   1              6         
fishing                  9              7         
fish—um                  1              7         
fish”                    1              5         
fist                     1              4         
fitness                  1              7         
five                     5              4         
fivemonthsold            1              13        
fix                      1              3         
fixed                    1              5         
flag                     1              4         
flakes                   2              6         
flame                    6              5         
flames                   16             6         
flaming                  1              7         
flap                     4              4         
flapped                  1              7         
flapping                 1              8         
flash                    6              5         
flat                     2              4         
flatbottomed             1              12        
flatten                  1              7         
flattened                6              9         
flavor                   2              6         
fledglings               1              10        
fleeing                  4              7         
fleet                    10             5         
flew                     1              4         
flinging                 1              8         
flip                     2              4         
flipped                  2              7         
flipping                 1              8         
flitting                 1              8         
float                    1              5         
floated                  1              7         
floating                 4              8         
floor                    8              5         
flowers                  1              7         
flown                    1              5         
fluff                    1              5         
fluffed                  1              7         
flung                    2              5         
flush                    1              5         
fly                      1              3         
flying                   5              6         
foe                      2              3         
folded                   1              6         
folk                     12             4         
folks                    3              5         
folk—and                 1              8         
follow                   11             6         
followed                 6              8         
following                9              9         
folsom                   1              6         
fond                     1              4         
fondly                   1              6         
font                     1              4         
food                     2              4         
fooled                   1              6         
foolish                  3              7         
foot                     17             4         
footprints               7              10        
footsteps                1              9         
for                      281            3         
force                    1              5         
forced                   2              6         
fore                     2              4         
forearm                  1              7         
foreleg                  1              7         
forepaw                  1              7         
forepaws                 2              8         
forest                   23             6         
forget                   4              6         
forgiven                 1              8         
forgot                   4              6         
forgotten                6              9         
forked                   1              6         
form                     10             4         
format                   4              6         
formats                  1              7         
formidable               1              10        
forming                  1              7         
forms                    2              5         
forth                    16             5         
fortunately              2              11        
forty                    1              5         
forward                  2              7         
fought                   1              6         
found                    34             5         
foundation               20             10        
foundation’s             3              12        
foundation”              2              11        
four                     6              4         
fours                    1              5         
fourteen                 1              8         
fourth                   1              6         
fox                      36             3         
foxes                    2              5         
foxy                     2              4         
fox”                     1              4         
fragrance                7              9         
fragrant                 1              8         
free                     9              4         
freed                    1              5         
freedom                  2              7         
freely                   5              6         
freeze                   1              6         
fresh                    3              5         
freshening               1              10        
friends                  1              7         
frighten                 2              8         
frightened               12             10        
frisky                   16             6         
frog                     1              4         
frogging                 1              8         
frogs                    8              5         
frolic                   6              6         
frolic”                  1              7         
from                     155            4         
frost                    2              5         
fruit                    1              5         
fruitladen               1              10        
full                     28             4         
fully                    4              5         
fun                      6              3         
funny                    1              5         
fun”                     1              4         
fur                      14             3         
furious                  1              7         
furnish                  1              7         
furniture                1              9         
furred                   1              6         
furry                    6              5         
furs                     2              4         
further                  7              7         
furtive                  3              7         
fury                     3              4         
fur”                     1              4         
future                   3              6         
fuzzy                    6              5         
gaily                    2              5         
gained                   1              6         
gaining                  1              7         
gallop                   1              6         
galloped                 3              8         
galloped—under           1              14        
galloping                1              9         
game                     3              4         
game”                    1              5         
gasped                   6              6         
gasping                  4              7         
gathered                 1              8         
gathers                  1              7         
gaunt                    2              5         
gave                     25             4         
gaze                     1              4         
gazed                    2              5         
gazing                   2              6         
general                  3              7         
generally                4              9         
generations              2              11        
generously               1              10        
gently                   3              6         
get                      40             3         
gets                     11             4         
getting                  11             7         
giant                    3              5         
giggle                   1              6         
ginger                   1              6         
girl                     8              4         
girl’s                   2              6         
give                     20             4         
given                    7              5         
giving                   1              6         
glad                     2              4         
glade                    8              5         
glance                   4              6         
glanced                  1              7         
glared                   1              6         
gleam                    2              5         
gleamed                  2              7         
gleaming                 2              8         
gleefully                1              9         
glide                    1              5         
glint                    1              5         
glinting                 2              8         
glittered                1              9         
gloom                    3              5         
glorious                 1              8         
glossy                   5              6         
glow                     3              4         
glowed                   1              6         
gnawer                   1              6         
gnawing                  11             7         
go                       27             2         
goals                    1              5         
gobbled                  1              7         
goes                     10             4         
going                    32             5         
going”                   2              6         
golden                   1              6         
gone                     18             4         
good                     30             4         
goodsized                1              9         
gooseflesh               1              10        
gossiped                 1              8         
got                      19             3         
govern                   1              6         
go”                      1              3         
grab                     3              4         
grabbed                  5              7         
grabbing                 1              8         
grace                    1              5         
gradually                3              9         
grand                    1              5         
granted                  1              7         
grape                    1              5         
grapevine                1              9         
grappling                1              9         
grass                    7              5         
grasses                  1              7         
grasshopper              1              11        
grasshoppers             1              12        
gratefully               1              10        
gravely                  1              7         
gray                     7              4         
graybrown                1              9         
great                    44             5         
great”                   1              6         
greed                    1              5         
greedily                 1              8         
greedy                   1              6         
green                    15             5         
grew                     11             4         
grievance                1              9         
grinned                  1              7         
grip                     2              4         
grizzly                  1              7         
groaningly               1              10        
gross                    1              5         
grouch                   2              6         
ground                   20             6         
ground—like              1              11        
ground—that’s            1              13        
group                    3              5         
grouse                   10             6         
grove                    3              5         
growing                  3              7         
growl                    6              5         
growled                  7              7         
growling                 2              8         
growls                   1              6         
grown                    2              5         
grownup                  1              7         
grubbed                  1              7         
grubs                    2              5         
grub—but                 1              8         
gruff                    1              5         
grumbled                 2              8         
grunt                    3              5         
grunted                  1              7         
grunting                 2              8         
guard                    4              5         
guarding                 1              8         
guess                    3              5         
guiding                  1              7         
guilty                   1              6         
gulped                   1              6         
gunny                    1              5         
guns                     1              4         
guns”                    1              5         
gutenberg                26             9         
gutenberg”               5              10        
gutenberg™               56             10        
gutenberg™’s             1              12        
habit                    1              5         
habits                   1              6         
hacking                  1              7         
had                      377            3         
hadn’t                   7              6         
had—decided              1              11        
hail                     2              4         
hailstones               1              10        
hair                     1              4         
hairy                    1              5         
hair’s                   1              6         
half                     23             4         
halfeaten                1              9         
halfgrown                1              9         
halfhour                 1              8         
halfshadowed             1              12        
halfshut                 1              8         
hammers                  1              7         
hand                     3              4         
handful                  6              7         
handiest                 1              8         
handle                   1              6         
handoverhand             1              12        
handsomest               1              10        
hanging                  1              7         
happen                   14             6         
happened                 15             8         
happening                1              9         
happens                  1              7         
happiest                 2              8         
happily                  3              7         
happy                    2              5         
hard                     7              4         
harder                   4              6         
hardly                   4              6         
hardwood                 4              8         
hare                     7              4         
hares                    11             5         
harks                    1              5         
harm                     2              4         
harmed                   1              6         
harmless                 2              8         
harm”                    1              5         
hart                     1              4         
has                      12             3         
hastened                 2              8         
hastily                  1              7         
hate                     2              4         
haunches                 7              8         
have                     130            4         
haven                    1              5         
haven’t                  1              7         
having                   6              6         
hawk                     1              4         
hay                      1              3         
haze                     1              4         
hazel                    4              5         
he                       684            2         
head                     28             4         
headed                   6              6         
headed”                  1              7         
heads                    2              5         
headway                  2              7         
head”                    1              5         
heal                     1              4         
healthy                  2              7         
hear                     7              4         
heard                    11             5         
heart                    4              5         
hearts                   4              6         
heart’s                  1              7         
heat                     2              4         
heavy                    9              5         
heavypawed               1              10        
heels                    12             5         
height                   1              6         
heightened               1              10        
held                     12             4         
help                     13             4         
helpless                 3              8         
helplessly               1              10        
help”                    1              5         
hen                      6              3         
henceforth               1              10        
hens                     1              4         
her                      137            3         
here                     33             4         
here”                    4              5         
hero                     1              4         
herself                  9              7         
herself”                 1              8         
hesitation               1              10        
heu”                     1              4         
he’d                     8              4         
he’ll                    1              5         
he’s                     5              4         
hibernate                2              9         
hibernates               1              10        
hibernation              1              11        
hid                      3              3         
hidden                   5              6         
hide                     4              4         
hiding                   7              6         
high                     14             4         
highbush                 3              8         
higher                   4              6         
highpitched              1              11        
hill                     3              4         
hillock                  1              7         
hillside                 2              8         
hilltop                  2              7         
him                      175            3         
himself                  54             7         
him—yes                  1              7         
him”                     1              4         
hind                     8              4         
